m,y,Total,Coffee Producing Export,Spot Price
1,2021,3658584.00,211688.00,
2,2021,3982681.00,256890.00,
3,2021,3854272.00,249157.00,125.45
4,2021,3699671.00,241449.00,
5,2021,2669440.00,147893.00,151.80
6,2021,3078650.00,203638.00,
7,2021,2909419.00,292109.00,165.65
8,2021,2831633.00,247682.00,
9,2021,3239049.00,299985.00,183.50
10,2021,3586369.00,238069.00,
11,2021,3214035.00,267953.00,
12,2021,3881466.00,196215.00,224.40
1,2022,3120294.00,187761.00,
2,2022,2938584.00,250997.00,
3,2022,3340203.00,234727.00,224.85
4,2022,3400329.00,212487.00,
5,2022,2929203.00,172718.00,218.60
6,2022,2430391.00,244634.00,
7,2022,2202930.00,331354.00,220.40
8,2022,4102102.00,336383.00,
9,2022,4201102.00,344980.00,228.10
10,2022,4340102.00,252964.00,
11,2022,4560102.00,257538.00,
12,2022,4681192.00,199911.00,164.05
1,2023,2848202.00,164076.00,
2,2023,2435352.00,190992.00,
3,2023,3115803.00,160027.00,186.70
4,2023,2754923.00,146748.00,
5,2023,2447948.00,347327.00,190.45
6,2023,2633913.00,211191.00,
7,2023,3002292.00,223331.00,152.45
8,2023,3696430.00,303979.00,
9,2023,3341967.00,352023.00,167.50
10,2023,4413423.00,282270.00,
11,2023,4416942.00,292383.00,
12,2023,4145298.00,375402.00,209.55
