m,y,Spot Price,Quarterly Total,Quarterly Coffee-Producing
1,2021,,,
2,2021,,,
3,2021,125.45,11495537,389342
4,2021,,,
5,2021,151.8,5748090,495747
6,2021,,,
7,2021,165.65,5988069,547667
8,2021,,,
9,2021,183.5,6070682,702237
10,2021,,,
11,2021,,,
12,2021,224.4,10681870,673485
1,2022,,,
2,2022,,,
3,2022,224.85,9399081,385205
4,2022,,,
5,2022,218.6,6329532,575988
6,2022,,,
7,2022,220.4,4633321,681363
8,2022,,,
9,2022,228.1,8303204,710413
10,2022,,,
11,2022,,,
12,2022,164.05,13581396,515095
1,2023,,,
2,2023,,,
3,2023,186.7,8399357,494075
4,2023,,,
5,2023,190.45,5202871,434522
6,2023,,,
7,2023,152.45,5636205,656002
8,2023,,,
9,2023,167.5,7038397,950055
