m,y,Mexico,Colombia,Vietnam,Ecuador,Indonesia,Domincan Republic,Cuba,India,Panama,Total,Non-Coffee Producing Totals,Net Change,Coffee-Producing Total,Net Change,Spot Price,
1,2021,"28,982","132,458","5,510","2,653","21,645","14,015","1,625","4,800",0,"3,658,584.00","3,446,896.00",,"211,688",,,
2,2021,"47,486","126,241","8,653","37,851","23,148","2,486","9,425","1,600",0,"3,982,681.00","3,725,791.00",0.08,256890,21.35%,,
3,2021,"57,906","111,659","3,133","16,935","35,490","17,314",0,"6,400",320,"3,854,272","3,605,115.00",-0.03,249157,-3.01%,125.45,
4,2021,"50,366","81,858","10,557","29,802","29,159","16,316","23,075",0,316,"3,699,671","3,458,222.00",-0.04,241449,-3.09%,,
5,2021,"48,100","60,371",0,"29,334","10,088",0,0,0,0,"2,669,440","2,521,547.00",-0.27,147893,-38.75%,151.80,
6,2021,"82,784","36,828",900,"24,693","42,397","3,836","2,600","9,600",0,"3,078,650","2,875,012.00",0.14,203638,37.69%,,
7,2021,"116,125","134,949","3,810","10,341","23,595",197,0,"3,000",92,"2,909,419","2,617,310.00",-0.09,292109,43.45%,165.65,
8,2021,"127,859","68,769","6,648","11,385","32,036",867,0,0,118,"2,831,633","2,583,951.00",-0.01,247682,-15.21%,,
9,2021,"153,532","115,135","2,100","1,546","14,468","13,112",0,0,92,"3,239,049","2,939,064.00",0.14,299985,21.12%,183.50,
10,2021,"110,695","88,426","5,015","2,263","18,608","11,821",0,"1,200",41,"3,586,369","3,348,300.00",0.14,238069,-20.64%,,
11,2021,"77,638","95,839","2,667","3,659","60,570","21,830","4,550","1,200",0,"3,214,035","2,946,082.00",-0.12,267953,12.55%,,
12,2021,"19,311","109,595","5,766","2,301","31,266","22,821","3,575","1,500",80,"3,881,466","3,685,251.00",0.25,196215,-26.77%,224.40,
1,2022,"25,550","123,278","2,421","3,100","11,010","20,102",,"2,300",0,"3,120,294","2,932,533.00",-0.20,187761,-4.31%,,
2,2022,"43,200","123,402","13,109","41,391","22,102","7,793",,0,0,"2,938,584","2,687,587.00",-0.08,250997,33.68%,,
3,2022,"60,231","105,673","11,501","13,210","33,010","11,102",,0,,"3,340,203","3,105,476.00",0.16,234727,-6.48%,224.85,
4,2022,"55,321","90,129","9,505","35,412","22,120",0,,0,,"3,400,329","3,187,842.00",0.03,212487,-9.47%,,
5,2022,"50,992","80,128",0,"28,741","8,939","3,918",,0,0,"2,929,203","2,756,485.00",-0.14,172718,-18.72%,218.60,
6,2022,"90,123","43,998","12,010","55,201","43,102",200,,0,,"2,430,391","2,185,757.00",-0.21,244634,41.64%,,
7,2022,"124,302","142,222","11,011","13,141","22,190",249,,"18,239",,"2,202,930","1,871,576.00",-0.14,331354,35.45%,220.40,
8,2022,"134,107","133,220","2,030","18,101","34,302","4,503",,"10,120",0,"4,102,102","3,765,719.00",1.01,336383,1.52%,,
9,2022,"167,783","115,201","5,772","35,111","13,141","7,102",,870,,"4,201,102","3,856,122.00",0.02,344980,2.56%,228.10,
10,2022,"123,336","72,120","2,667","22,101","19,910","11,910",,920,,"4,340,102","4,087,138.00",0.06,252964,-26.67%,,
11,2022,"65,311","85,520","2,988","20,808","60,710","22,201",0,0,,"4,560,102","4,302,564.00",0.05,257538,1.81%,,
12,2022,"30,942","90,104","5,766","19,550","29,190","23,999",,360,,"4,681,192","4,481,281.00",0.04,199911,-22.38%,164.05,
1,2023,"11,236","104,796","1,333","9,450","7,614","23,620","6,027",0,,"2,848,202","2,684,126.00",-0.40,164076,-17.93%,,
2,2023,"16,140","121,383","12,658","7,081","22,060","6,390","5,280",0,,"2,435,352","2,244,360.00",-0.16,190992,16.40%,,
3,2023,"11,257","101,361","12,070","4,546","23,340","7,451",2,0,,"3,115,803","2,955,776.00",0.32,160027,-16.21%,186.70,
4,2023,"11,165","109,758",0,"3,986","21,839",0,0,0,,"2,754,923","2,608,175.00",-0.12,146748,-8.30%,,
5,2023,"8,180","103,439","15,708","8,706","200,799","3,675","3,233","3,587",,"2,447,948","2,100,621.00",-0.19,347327,136.68%,190.45,
6,2023,"35,669","111,837","17,724","10,942","30,512",640,"3,867",0,,"2,633,913","2,422,722.00",0.15,211191,-39.20%,,
7,2023,"36,999","93,344","20,339","11,768","57,207",268,"1,971","1,435",,"3,002,292","2,778,961.00",0.15,223331,5.75%,152.45,
8,2023,"79,541","124,992","27,443","17,241","28,783","6,728",5,"19,246",,"3,696,430","3,392,451.00",0.22,303979,36.11%,,
9,2023,"101,974","124,992","26,996","29,083","46,151",439,"12,800","9,588",,"3,341,967","2,989,944.00",-0.12,352023,15.81%,167.50,
10,2023,"81,689","73,273","9,393","21,239","66,156","28,332",433,"1,755",,"4,413,423","4,131,153.00",0.38,282270,-19.81%,,
11,2023,"67,720","85,250","17,250","24,730","40,889","53,742","1,882",920,,"4,416,942","4,124,559.00",0.00,292383,3.58%,,
12,2023,"154,829","91,104","24,858","21,658","50,541","32,092",0,320,,"4,145,298","3,769,896.00",-0.09,375402,28.39%,209.55,
,,,,,,,,,,,,,,,,,
